sentence_key	texte_expe	XP_type	item	type-de-phrase	audio_type	task_question_type	list	spk_sex	spk_id	OLDspk_id	num_syll	stim_num	wh-type	presence-eske	The Voice Contest	wh-in-situ-final	func-wh	OK_praat_seg	neg	texte	OK_Expe_perception	dossier-brat	orig_filename	nombre-de-mots	pos-wh	quality-wh	rheto-wh	subj-DP	subj-clit	subj-ce	nombre-subj	inverted-subj	comp	nombre-comp	lex-restr	partitif	est-ce-que	nombre_verbes	flexion-et	type-de-verbe-et	extraction-site	notes	partie-a-enlever	nombre-partie-a-enlever-mots	nombre-mots-a-enlever	dislocation-droite	attention-dernier-mot	fin-partie-enlever	locuteur	OLD_sentence_key	texte_turn_brut	spk_age	OLDOLD_sentence_key
012-XP_mbrola-is.it.question-decla-delex-3-B-NO-10-O-F-WE2_A003_4686s24	j'ai entendu une espagnole aussi	XP_mbrola	3	decla	delex	is.it.question	B	F	O	KC3	10	012	NO	NO	3	NO	NO	YES	NO	ouais j'ai entendu une espagnole aussi  	YES	WE2_decl_6	WE2_A003_4686s24	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	122-de-DE-3-A-0-10-AW-F-WE2_A003_4686s24	ouais j'ai entendu une espagnole aussi 	NOAGE	122-de-DE-3-B-0-10-AW-F-WE2_A003_4686s24
013-XP_mbrola-is.it.decla-decla-clair-4-B-NO-8-S-F-WE2_A007_1392s98	il fait jour le matin et le soir  	XP_mbrola	4	decla	clair	is.it.decla	B	F	S	ZU9	08	013	NO	NO	3	NO	NO	YES	NO	et maintenant il fait jour le matin et le soir  	YES		WE2_A007_1392s98		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	028-de-CL-4-A-0-08-BC-F-WE2_A007_1392s98		NOAGE	028-de-CL-4-A-0-08-BC-F-WE2_A007_1392s98
014-XP_mbrola-is.it.decla-decla-delex-4-C-NO-8-S-F-WE2_A007_1392s98	il fait jour le matin et le soir  	XP_mbrola	4	decla	delex	is.it.decla	C	F	S	ZU9	08	014	NO	NO	3	NO	NO	YES	NO	et maintenant il fait jour le matin et le soir  	YES		WE2_A007_1392s98		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	148-de-DE-4-C-0-08-BC-F-WE2_A007_1392s98		NOAGE	148-de-DE-4-C-0-08-BC-F-WE2_A007_1392s98
015-XP_mbrola-is.it.question-decla-clair-4-D-NO-8-S-F-WE2_A007_1392s98	il fait jour le matin et le soir  	XP_mbrola	4	decla	clair	is.it.question	D	F	S	ZU9	08	015	NO	NO	3	NO	NO	YES	NO	et maintenant il fait jour le matin et le soir  	YES		WE2_A007_1392s98		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	028-de-CL-4-A-0-08-BC-F-WE2_A007_1392s98		NOAGE	028-de-CL-4-A-0-08-BC-F-WE2_A007_1392s98
016-XP_mbrola-is.it.question-decla-delex-4-A-NO-8-S-F-WE2_A007_1392s98	il fait jour le matin et le soir  	XP_mbrola	4	decla	delex	is.it.question	A	F	S	ZU9	08	016	NO	NO	3	NO	NO	YES	NO	et maintenant il fait jour le matin et le soir  	YES		WE2_A007_1392s98		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	148-de-DE-4-C-0-08-BC-F-WE2_A007_1392s98		NOAGE	148-de-DE-4-C-0-08-BC-F-WE2_A007_1392s98
017-XP_mbrola-is.it.decla-decla-clair-5-A-NO-8-S-F-WE2_A007_1541s511	je pense que c'est le quartier bannier	XP_mbrola	5	decla	clair	is.it.decla	A	F	S	ZU9	08	017	NO	NO	4	NO	NO	YES	NO	je pense que c'est le quartier Bannier  	YES	WE2_decl_7	WE2_A007_1541s511	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	003-de-CL-5-C-0-08-BC-F-WE2_A007_1541s511	je pense que c'est le quartier Bannier 	NOAGE	003-de-CL-5-B-0-08-BC-F-WE2_A007_1541s511
018-XP_mbrola-is.it.decla-decla-delex-5-B-NO-8-S-F-WE2_A007_1541s511	je pense que c'est le quartier bannier	XP_mbrola	5	decla	delex	is.it.decla	B	F	S	ZU9	08	018	NO	NO	4	NO	NO	YES	NO	je pense que c'est le quartier Bannier  	YES	WE2_decl_7	WE2_A007_1541s511	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	123-de-DE-5-B-0-08-BC-F-WE2_A007_1541s511	je pense que c'est le quartier Bannier 	NOAGE	123-de-DE-5-A-0-08-BC-F-WE2_A007_1541s511
019-XP_mbrola-is.it.question-decla-clair-5-C-NO-8-S-F-WE2_A007_1541s511	je pense que c'est le quartier bannier	XP_mbrola	5	decla	clair	is.it.question	C	F	S	ZU9	08	019	NO	NO	4	NO	NO	YES	NO	je pense que c'est le quartier Bannier  	YES	WE2_decl_7	WE2_A007_1541s511	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	003-de-CL-5-C-0-08-BC-F-WE2_A007_1541s511	je pense que c'est le quartier Bannier 	NOAGE	003-de-CL-5-B-0-08-BC-F-WE2_A007_1541s511
020-XP_mbrola-is.it.question-decla-delex-5-D-NO-8-S-F-WE2_A007_1541s511	je pense que c'est le quartier bannier	XP_mbrola	5	decla	delex	is.it.question	D	F	S	ZU9	08	020	NO	NO	4	NO	NO	YES	NO	je pense que c'est le quartier Bannier  	YES	WE2_decl_7	WE2_A007_1541s511	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	123-de-DE-5-B-0-08-BC-F-WE2_A007_1541s511	je pense que c'est le quartier Bannier 	NOAGE	123-de-DE-5-A-0-08-BC-F-WE2_A007_1541s511
021-XP_mbrola-is.it.decla-decla-clair-6-D-NO-12-S-F-WE2_A007_2577s594	je me rend compte que tu as un très léger accent  	XP_mbrola	6	decla	clair	is.it.decla	D	F	S	ZU9	12	021	NO	NO	3	NO	NO	YES	NO	tu vois je me rend compte que tu as un très léger accent  	YES		WE2_A007_2577s594		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	029-de-CL-6-B-0-12-BC-F-WE2_A007_2577s594		NOAGE	029-de-CL-6-C-0-12-BC-F-WE2_A007_2577s594
022-XP_mbrola-is.it.decla-decla-delex-6-A-NO-12-S-F-WE2_A007_2577s594	je me rend compte que tu as un très léger accent  	XP_mbrola	6	decla	delex	is.it.decla	A	F	S	ZU9	12	022	NO	NO	3	NO	NO	YES	NO	tu vois je me rend compte que tu as un très léger accent  	YES		WE2_A007_2577s594		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	149-de-DE-6-A-0-12-BC-F-WE2_A007_2577s594		NOAGE	149-de-DE-6-B-0-12-BC-F-WE2_A007_2577s594
023-XP_mbrola-is.it.question-decla-clair-6-B-NO-12-S-F-WE2_A007_2577s594	je me rend compte que tu as un très léger accent  	XP_mbrola	6	decla	clair	is.it.question	B	F	S	ZU9	12	023	NO	NO	3	NO	NO	YES	NO	tu vois je me rend compte que tu as un très léger accent  	YES		WE2_A007_2577s594		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	029-de-CL-6-B-0-12-BC-F-WE2_A007_2577s594		NOAGE	029-de-CL-6-C-0-12-BC-F-WE2_A007_2577s594
024-XP_mbrola-is.it.question-decla-delex-6-C-NO-12-S-F-WE2_A007_2577s594	je me rend compte que tu as un très léger accent  	XP_mbrola	6	decla	delex	is.it.question	C	F	S	ZU9	12	024	NO	NO	3	NO	NO	YES	NO	tu vois je me rend compte que tu as un très léger accent  	YES		WE2_A007_2577s594		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	149-de-DE-6-A-0-12-BC-F-WE2_A007_2577s594		NOAGE	149-de-DE-6-B-0-12-BC-F-WE2_A007_2577s594
025-XP_mbrola-is.it.decla-decla-clair-7-C-NO-6-N-F-WE2_A008_1238s554	je trouve que c'est dommage	XP_mbrola	7	decla	clair	is.it.decla	C	F	N	HF8	06	025	NO	NO	4	NO	NO	YES	NO	et ça je trouve que c'est dommage  	YES	WE2_decl_7	WE2_A008_1238s554	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	004-de-CL-7-A-0-06-AU-F-WE2_A008_1238s554	et ça je trouve que c'est dommage 	NOAGE	004-de-CL-7-A-0-06-AU-F-WE2_A008_1238s554
026-XP_mbrola-is.it.decla-decla-delex-7-D-NO-6-N-F-WE2_A008_1238s554	je trouve que c'est dommage	XP_mbrola	7	decla	delex	is.it.decla	D	F	N	HF8	06	026	NO	NO	4	NO	NO	YES	NO	et ça je trouve que c'est dommage  	YES	WE2_decl_7	WE2_A008_1238s554	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	124-de-DE-7-C-0-06-AU-F-WE2_A008_1238s554	et ça je trouve que c'est dommage 	NOAGE	124-de-DE-7-C-0-06-AU-F-WE2_A008_1238s554
027-XP_mbrola-is.it.question-decla-clair-7-A-NO-6-N-F-WE2_A008_1238s554	je trouve que c'est dommage	XP_mbrola	7	decla	clair	is.it.question	A	F	N	HF8	06	027	NO	NO	4	NO	NO	YES	NO	et ça je trouve que c'est dommage  	YES	WE2_decl_7	WE2_A008_1238s554	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	004-de-CL-7-A-0-06-AU-F-WE2_A008_1238s554	et ça je trouve que c'est dommage 	NOAGE	004-de-CL-7-A-0-06-AU-F-WE2_A008_1238s554
028-XP_mbrola-is.it.question-decla-delex-7-B-NO-6-N-F-WE2_A008_1238s554	je trouve que c'est dommage	XP_mbrola	7	decla	delex	is.it.question	B	F	N	HF8	06	028	NO	NO	4	NO	NO	YES	NO	et ça je trouve que c'est dommage  	YES	WE2_decl_7	WE2_A008_1238s554	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	124-de-DE-7-C-0-06-AU-F-WE2_A008_1238s554	et ça je trouve que c'est dommage 	NOAGE	124-de-DE-7-C-0-06-AU-F-WE2_A008_1238s554
029-XP_mbrola-is.it.decla-decla-clair-8-B-NO-12-N-F-WE2_A008_3247s562	c'est intéressant	XP_mbrola	8	decla	clair	is.it.decla	B	F	N	HF8	12	029	NO	NO	3	NO	NO	YES	NO	bah tu peux donner ton avis c'est intéressant  	YES	WE2_decl_8	WE2_A008_3247s562	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	030-de-CL-8-C-0-12-AU-F-WE2_A008_3247s562	bah tu peux donner ton avis c'est intéressant 	NOAGE	030-de-CL-8-B-0-12-AU-F-WE2_A008_3247s562
030-XP_mbrola-is.it.decla-decla-delex-8-C-NO-12-N-F-WE2_A008_3247s562	c'est intéressant	XP_mbrola	8	decla	delex	is.it.decla	C	F	N	HF8	12	030	NO	NO	3	NO	NO	YES	NO	bah tu peux donner ton avis c'est intéressant  	YES	WE2_decl_8	WE2_A008_3247s562	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	150-de-DE-8-B-0-12-AU-F-WE2_A008_3247s562	bah tu peux donner ton avis c'est intéressant 	NOAGE	150-de-DE-8-A-0-12-AU-F-WE2_A008_3247s562
031-XP_mbrola-is.it.question-decla-clair-8-D-NO-12-N-F-WE2_A008_3247s562	c'est intéressant	XP_mbrola	8	decla	clair	is.it.question	D	F	N	HF8	12	031	NO	NO	3	NO	NO	YES	NO	bah tu peux donner ton avis c'est intéressant  	YES	WE2_decl_8	WE2_A008_3247s562	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	030-de-CL-8-C-0-12-AU-F-WE2_A008_3247s562	bah tu peux donner ton avis c'est intéressant 	NOAGE	030-de-CL-8-B-0-12-AU-F-WE2_A008_3247s562
032-XP_mbrola-is.it.question-decla-delex-8-A-NO-12-N-F-WE2_A008_3247s562	c'est intéressant	XP_mbrola	8	decla	delex	is.it.question	A	F	N	HF8	12	032	NO	NO	3	NO	NO	YES	NO	bah tu peux donner ton avis c'est intéressant  	YES	WE2_decl_8	WE2_A008_3247s562	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	150-de-DE-8-B-0-12-AU-F-WE2_A008_3247s562	bah tu peux donner ton avis c'est intéressant 	NOAGE	150-de-DE-8-A-0-12-AU-F-WE2_A008_3247s562
033-XP_mbrola-is.it.decla-decla-clair-9-A-NO-7-N-F-WE2_A008_3922s864	c'est pas que la langue de banlieue	XP_mbrola	9	decla	clair	is.it.decla	A	F	N	HF8	07	033	NO	NO	4	NO	NO	YES	NO	c'est pas que la langue de banlieue  	YES	WE2_decl_7	WE2_A008_3922s864	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	005-de-CL-9-B-0-07-AU-F-WE2_A008_3922s864	c'est pas que la langue de banlieue 	NOAGE	005-de-CL-9-C-0-07-AU-F-WE2_A008_3922s864
034-XP_mbrola-is.it.decla-decla-delex-9-B-NO-7-N-F-WE2_A008_3922s864	c'est pas que la langue de banlieue	XP_mbrola	9	decla	delex	is.it.decla	B	F	N	HF8	07	034	NO	NO	4	NO	NO	YES	NO	c'est pas que la langue de banlieue  	YES	WE2_decl_7	WE2_A008_3922s864	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	125-de-DE-9-A-0-07-AU-F-WE2_A008_3922s864	c'est pas que la langue de banlieue 	NOAGE	125-de-DE-9-B-0-07-AU-F-WE2_A008_3922s864
035-XP_mbrola-is.it.question-decla-clair-9-C-NO-7-N-F-WE2_A008_3922s864	c'est pas que la langue de banlieue	XP_mbrola	9	decla	clair	is.it.question	C	F	N	HF8	07	035	NO	NO	4	NO	NO	YES	NO	c'est pas que la langue de banlieue  	YES	WE2_decl_7	WE2_A008_3922s864	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	005-de-CL-9-B-0-07-AU-F-WE2_A008_3922s864	c'est pas que la langue de banlieue 	NOAGE	005-de-CL-9-C-0-07-AU-F-WE2_A008_3922s864
036-XP_mbrola-is.it.question-decla-delex-9-D-NO-7-N-F-WE2_A008_3922s864	c'est pas que la langue de banlieue	XP_mbrola	9	decla	delex	is.it.question	D	F	N	HF8	07	036	NO	NO	4	NO	NO	YES	NO	c'est pas que la langue de banlieue  	YES	WE2_decl_7	WE2_A008_3922s864	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	125-de-DE-9-A-0-07-AU-F-WE2_A008_3922s864	c'est pas que la langue de banlieue 	NOAGE	125-de-DE-9-B-0-07-AU-F-WE2_A008_3922s864
037-XP_mbrola-is.it.decla-decla-clair-10-D-NO-9-N-F-WE2_A008_3984s177	ils disent bonsoir même quand c'est le matin	XP_mbrola	10	decla	clair	is.it.decla	D	F	N	HF8	09	037	NO	NO	4	NO	NO	YES	NO	ils disent bonsoir même quand c'est le matin  	YES	WE2_decl_8	WE2_A008_3984s177	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	006-de-CL-10-A-0-09-AU-F-WE2_A008_3984s177	ils disent bonsoir même quand c'est le matin 	NOAGE	006-de-CL-10-A-0-09-AU-F-WE2_A008_3984s177
038-XP_mbrola-is.it.decla-decla-delex-10-A-NO-9-N-F-WE2_A008_3984s177	ils disent bonsoir même quand c'est le matin	XP_mbrola	10	decla	delex	is.it.decla	A	F	N	HF8	09	038	NO	NO	4	NO	NO	YES	NO	ils disent bonsoir même quand c'est le matin  	YES	WE2_decl_8	WE2_A008_3984s177	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	126-de-DE-10-C-0-09-AU-F-WE2_A008_3984s177	ils disent bonsoir même quand c'est le matin 	NOAGE	126-de-DE-10-C-0-09-AU-F-WE2_A008_3984s177
039-XP_mbrola-is.it.question-decla-clair-10-B-NO-9-N-F-WE2_A008_3984s177	ils disent bonsoir même quand c'est le matin	XP_mbrola	10	decla	clair	is.it.question	B	F	N	HF8	09	039	NO	NO	4	NO	NO	YES	NO	ils disent bonsoir même quand c'est le matin  	YES	WE2_decl_8	WE2_A008_3984s177	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	006-de-CL-10-A-0-09-AU-F-WE2_A008_3984s177	ils disent bonsoir même quand c'est le matin 	NOAGE	006-de-CL-10-A-0-09-AU-F-WE2_A008_3984s177
040-XP_mbrola-is.it.question-decla-delex-10-C-NO-9-N-F-WE2_A008_3984s177	ils disent bonsoir même quand c'est le matin	XP_mbrola	10	decla	delex	is.it.question	C	F	N	HF8	09	040	NO	NO	4	NO	NO	YES	NO	ils disent bonsoir même quand c'est le matin  	YES	WE2_decl_8	WE2_A008_3984s177	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	126-de-DE-10-C-0-09-AU-F-WE2_A008_3984s177	ils disent bonsoir même quand c'est le matin 	NOAGE	126-de-DE-10-C-0-09-AU-F-WE2_A008_3984s177
041-XP_mbrola-is.it.decla-decla-clair-11-C-NO-10-M-F-WE2_A014_147s558	elle est dans un lycée professionnel  	XP_mbrola	11	decla	clair	is.it.decla	C	F	M	EW15	10	041	NO	NO	4	NO	NO	YES	NO	elle aime beaucoup aider les jeunes et elle est dans un lycée professionnel  	YES		WE2_A014_147s558		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	007-de-CL-11-C-0-10-AT-F-WE2_A014_147s558		NOAGE	007-de-CL-11-B-0-10-AT-F-WE2_A014_147s558
